date,platform,source_name,metric_name,metric_value
2023-09-01,telegram,GazaUpdates,telegram_message_count,30.0
2023-09-01,telegram,GazaUpdates,telegram_total_views,138340.0
2023-09-01,telegram,HomeFrontAlerts,telegram_message_count,27.0
2023-09-01,telegram,HomeFrontAlerts,telegram_total_views,133188.0
2023-09-01,telegram,HostageFamilies,telegram_message_count,13.0
2023-09-01,telegram,HostageFamilies,telegram_total_views,66352.0
2023-09-01,telegram,ILPoliticsChannel,telegram_message_count,16.0
2023-09-01,telegram,ILPoliticsChannel,telegram_total_views,77398.0
2023-09-01,telegram,InternationalIsrael,telegram_message_count,22.0
2023-09-01,telegram,InternationalIsrael,telegram_total_views,96864.0
2023-09-01,telegram,IsraelNewsLive,telegram_message_count,24.0
2023-09-01,telegram,IsraelNewsLive,telegram_total_views,130752.0
2023-09-02,telegram,GazaUpdates,telegram_message_count,30.0
2023-09-02,telegram,GazaUpdates,telegram_total_views,148971.0
2023-09-02,telegram,HomeFrontAlerts,telegram_message_count,21.0
2023-09-02,telegram,HomeFrontAlerts,telegram_total_views,79742.0
2023-09-02,telegram,HostageFamilies,telegram_message_count,4.0
2023-09-02,telegram,HostageFamilies,telegram_total_views,22852.0
2023-09-02,telegram,ILPoliticsChannel,telegram_message_count,20.0
2023-09-02,telegram,ILPoliticsChannel,telegram_total_views,94532.0
2023-09-02,telegram,InternationalIsrael,telegram_message_count,14.0
2023-09-02,telegram,InternationalIsrael,telegram_total_views,60931.0
2023-09-02,telegram,IsraelNewsLive,telegram_message_count,36.0
2023-09-02,telegram,IsraelNewsLive,telegram_total_views,163383.0
2023-09-03,telegram,GazaUpdates,telegram_message_count,25.0
2023-09-03,telegram,GazaUpdates,telegram_total_views,132765.0
2023-09-03,telegram,HomeFrontAlerts,telegram_message_count,32.0
2023-09-03,telegram,HomeFrontAlerts,telegram_total_views,141614.0
2023-09-03,telegram,HostageFamilies,telegram_message_count,11.0
2023-09-03,telegram,HostageFamilies,telegram_total_views,46196.0
2023-09-03,telegram,ILPoliticsChannel,telegram_message_count,15.0
2023-09-03,telegram,ILPoliticsChannel,telegram_total_views,72105.0
2023-09-03,telegram,InternationalIsrael,telegram_message_count,18.0
2023-09-03,telegram,InternationalIsrael,telegram_total_views,81948.0
2023-09-03,telegram,IsraelNewsLive,telegram_message_count,21.0
2023-09-03,telegram,IsraelNewsLive,telegram_total_views,90946.0
2023-09-04,telegram,GazaUpdates,telegram_message_count,32.0
2023-09-04,telegram,GazaUpdates,telegram_total_views,135002.0
2023-09-04,telegram,HomeFrontAlerts,telegram_message_count,23.0
2023-09-04,telegram,HomeFrontAlerts,telegram_total_views,90124.0
2023-09-04,telegram,HostageFamilies,telegram_message_count,3.0
2023-09-04,telegram,HostageFamilies,telegram_total_views,5761.0
2023-09-04,telegram,ILPoliticsChannel,telegram_message_count,12.0
2023-09-04,telegram,ILPoliticsChannel,telegram_total_views,68126.0
2023-09-04,telegram,InternationalIsrael,telegram_message_count,26.0
2023-09-04,telegram,InternationalIsrael,telegram_total_views,103772.0
2023-09-04,telegram,IsraelNewsLive,telegram_message_count,44.0
2023-09-04,telegram,IsraelNewsLive,telegram_total_views,198226.0
2023-09-05,telegram,GazaUpdates,telegram_message_count,28.0
2023-09-05,telegram,GazaUpdates,telegram_total_views,124313.0
2023-09-05,telegram,HomeFrontAlerts,telegram_message_count,18.0
2023-09-05,telegram,HomeFrontAlerts,telegram_total_views,57445.0
2023-09-05,telegram,HostageFamilies,telegram_message_count,12.0
2023-09-05,telegram,HostageFamilies,telegram_total_views,44304.0
2023-09-05,telegram,ILPoliticsChannel,telegram_message_count,24.0
2023-09-05,telegram,ILPoliticsChannel,telegram_total_views,98447.0
2023-09-05,telegram,InternationalIsrael,telegram_message_count,21.0
2023-09-05,telegram,InternationalIsrael,telegram_total_views,99626.0
2023-09-05,telegram,IsraelNewsLive,telegram_message_count,31.0
2023-09-05,telegram,IsraelNewsLive,telegram_total_views,121215.0
2023-09-06,telegram,GazaUpdates,telegram_message_count,21.0
2023-09-06,telegram,GazaUpdates,telegram_total_views,117152.0
2023-09-06,telegram,HomeFrontAlerts,telegram_message_count,27.0
2023-09-06,telegram,HomeFrontAlerts,telegram_total_views,112164.0
2023-09-06,telegram,HostageFamilies,telegram_message_count,11.0
2023-09-06,telegram,HostageFamilies,telegram_total_views,48149.0
2023-09-06,telegram,ILPoliticsChannel,telegram_message_count,16.0
2023-09-06,telegram,ILPoliticsChannel,telegram_total_views,85551.0
2023-09-06,telegram,InternationalIsrael,telegram_message_count,21.0
2023-09-06,telegram,InternationalIsrael,telegram_total_views,108254.0
2023-09-06,telegram,IsraelNewsLive,telegram_message_count,40.0
2023-09-06,telegram,IsraelNewsLive,telegram_total_views,197251.0
2023-09-07,telegram,GazaUpdates,telegram_message_count,25.0
2023-09-07,telegram,GazaUpdates,telegram_total_views,133879.0
2023-09-07,telegram,HomeFrontAlerts,telegram_message_count,28.0
2023-09-07,telegram,HomeFrontAlerts,telegram_total_views,120127.0
2023-09-07,telegram,HostageFamilies,telegram_message_count,15.0
2023-09-07,telegram,HostageFamilies,telegram_total_views,73488.0
2023-09-07,telegram,ILPoliticsChannel,telegram_message_count,21.0
2023-09-07,telegram,ILPoliticsChannel,telegram_total_views,111694.0
2023-09-07,telegram,InternationalIsrael,telegram_message_count,20.0
2023-09-07,telegram,InternationalIsrael,telegram_total_views,107938.0
2023-09-07,telegram,IsraelNewsLive,telegram_message_count,28.0
2023-09-07,telegram,IsraelNewsLive,telegram_total_views,144706.0
2023-09-08,telegram,GazaUpdates,telegram_message_count,26.0
2023-09-08,telegram,GazaUpdates,telegram_total_views,131424.0
2023-09-08,telegram,HomeFrontAlerts,telegram_message_count,23.0
2023-09-08,telegram,HomeFrontAlerts,telegram_total_views,107930.0
2023-09-08,telegram,HostageFamilies,telegram_message_count,10.0
2023-09-08,telegram,HostageFamilies,telegram_total_views,47159.0
2023-09-08,telegram,ILPoliticsChannel,telegram_message_count,16.0
2023-09-08,telegram,ILPoliticsChannel,telegram_total_views,70923.0
2023-09-08,telegram,InternationalIsrael,telegram_message_count,19.0
2023-09-08,telegram,InternationalIsrael,telegram_total_views,68653.0
2023-09-08,telegram,IsraelNewsLive,telegram_message_count,29.0
2023-09-08,telegram,IsraelNewsLive,telegram_total_views,128257.0
2023-09-09,telegram,GazaUpdates,telegram_message_count,19.0
2023-09-09,telegram,GazaUpdates,telegram_total_views,92540.0
2023-09-09,telegram,HomeFrontAlerts,telegram_message_count,22.0
2023-09-09,telegram,HomeFrontAlerts,telegram_total_views,92848.0
2023-09-09,telegram,HostageFamilies,telegram_message_count,12.0
2023-09-09,telegram,HostageFamilies,telegram_total_views,37849.0
2023-09-09,telegram,ILPoliticsChannel,telegram_message_count,12.0
2023-09-09,telegram,ILPoliticsChannel,telegram_total_views,51879.0
2023-09-09,telegram,InternationalIsrael,telegram_message_count,25.0
2023-09-09,telegram,InternationalIsrael,telegram_total_views,105153.0
2023-09-09,telegram,IsraelNewsLive,telegram_message_count,33.0
2023-09-09,telegram,IsraelNewsLive,telegram_total_views,147244.0
2023-09-10,telegram,GazaUpdates,telegram_message_count,28.0
2023-09-10,telegram,GazaUpdates,telegram_total_views,144816.0
2023-09-10,telegram,HomeFrontAlerts,telegram_message_count,27.0
2023-09-10,telegram,HomeFrontAlerts,telegram_total_views,121772.0
2023-09-10,telegram,HostageFamilies,telegram_message_count,9.0
2023-09-10,telegram,HostageFamilies,telegram_total_views,46132.0
2023-09-10,telegram,ILPoliticsChannel,telegram_message_count,19.0
2023-09-10,telegram,ILPoliticsChannel,telegram_total_views,94040.0
2023-09-10,telegram,InternationalIsrael,telegram_message_count,12.0
2023-09-10,telegram,InternationalIsrael,telegram_total_views,50768.0
2023-09-10,telegram,IsraelNewsLive,telegram_message_count,20.0
2023-09-10,telegram,IsraelNewsLive,telegram_total_views,113347.0
2023-09-11,telegram,GazaUpdates,telegram_message_count,27.0
2023-09-11,telegram,GazaUpdates,telegram_total_views,165149.0
2023-09-11,telegram,HomeFrontAlerts,telegram_message_count,26.0
2023-09-11,telegram,HomeFrontAlerts,telegram_total_views,112184.0
2023-09-11,telegram,HostageFamilies,telegram_message_count,13.0
2023-09-11,telegram,HostageFamilies,telegram_total_views,55045.0
2023-09-11,telegram,ILPoliticsChannel,telegram_message_count,15.0
2023-09-11,telegram,ILPoliticsChannel,telegram_total_views,99353.0
2023-09-11,telegram,InternationalIsrael,telegram_message_count,14.0
2023-09-11,telegram,InternationalIsrael,telegram_total_views,57079.0
2023-09-11,telegram,IsraelNewsLive,telegram_message_count,32.0
2023-09-11,telegram,IsraelNewsLive,telegram_total_views,131930.0
2023-09-12,telegram,GazaUpdates,telegram_message_count,33.0
2023-09-12,telegram,GazaUpdates,telegram_total_views,167380.0
2023-09-12,telegram,HomeFrontAlerts,telegram_message_count,18.0
2023-09-12,telegram,HomeFrontAlerts,telegram_total_views,79029.0
2023-09-12,telegram,HostageFamilies,telegram_message_count,20.0
2023-09-12,telegram,HostageFamilies,telegram_total_views,102690.0
2023-09-12,telegram,ILPoliticsChannel,telegram_message_count,13.0
2023-09-12,telegram,ILPoliticsChannel,telegram_total_views,67244.0
2023-09-12,telegram,InternationalIsrael,telegram_message_count,26.0
2023-09-12,telegram,InternationalIsrael,telegram_total_views,118453.0
2023-09-12,telegram,IsraelNewsLive,telegram_message_count,34.0
2023-09-12,telegram,IsraelNewsLive,telegram_total_views,163068.0
2023-09-13,telegram,GazaUpdates,telegram_message_count,35.0
2023-09-13,telegram,GazaUpdates,telegram_total_views,172788.0
2023-09-13,telegram,HomeFrontAlerts,telegram_message_count,13.0
2023-09-13,telegram,HomeFrontAlerts,telegram_total_views,49153.0
2023-09-13,telegram,HostageFamilies,telegram_message_count,14.0
2023-09-13,telegram,HostageFamilies,telegram_total_views,63880.0
2023-09-13,telegram,ILPoliticsChannel,telegram_message_count,14.0
2023-09-13,telegram,ILPoliticsChannel,telegram_total_views,48213.0
2023-09-13,telegram,InternationalIsrael,telegram_message_count,15.0
2023-09-13,telegram,InternationalIsrael,telegram_total_views,55254.0
2023-09-13,telegram,IsraelNewsLive,telegram_message_count,44.0
2023-09-13,telegram,IsraelNewsLive,telegram_total_views,205353.0
2023-09-14,telegram,GazaUpdates,telegram_message_count,30.0
2023-09-14,telegram,GazaUpdates,telegram_total_views,150714.0
2023-09-14,telegram,HomeFrontAlerts,telegram_message_count,18.0
2023-09-14,telegram,HomeFrontAlerts,telegram_total_views,82135.0
2023-09-14,telegram,HostageFamilies,telegram_message_count,11.0
2023-09-14,telegram,HostageFamilies,telegram_total_views,41112.0
2023-09-14,telegram,ILPoliticsChannel,telegram_message_count,11.0
2023-09-14,telegram,ILPoliticsChannel,telegram_total_views,61191.0
2023-09-14,telegram,InternationalIsrael,telegram_message_count,28.0
2023-09-14,telegram,InternationalIsrael,telegram_total_views,118205.0
2023-09-14,telegram,IsraelNewsLive,telegram_message_count,27.0
2023-09-14,telegram,IsraelNewsLive,telegram_total_views,143622.0
2023-09-15,telegram,GazaUpdates,telegram_message_count,30.0
2023-09-15,telegram,GazaUpdates,telegram_total_views,131129.0
2023-09-15,telegram,HomeFrontAlerts,telegram_message_count,18.0
2023-09-15,telegram,HomeFrontAlerts,telegram_total_views,94486.0
2023-09-15,telegram,HostageFamilies,telegram_message_count,12.0
2023-09-15,telegram,HostageFamilies,telegram_total_views,51927.0
2023-09-15,telegram,ILPoliticsChannel,telegram_message_count,22.0
2023-09-15,telegram,ILPoliticsChannel,telegram_total_views,90772.0
2023-09-15,telegram,InternationalIsrael,telegram_message_count,23.0
2023-09-15,telegram,InternationalIsrael,telegram_total_views,87815.0
2023-09-15,telegram,IsraelNewsLive,telegram_message_count,39.0
2023-09-15,telegram,IsraelNewsLive,telegram_total_views,162356.0
2023-09-16,telegram,GazaUpdates,telegram_message_count,22.0
2023-09-16,telegram,GazaUpdates,telegram_total_views,107807.0
2023-09-16,telegram,HomeFrontAlerts,telegram_message_count,15.0
2023-09-16,telegram,HomeFrontAlerts,telegram_total_views,73595.0
2023-09-16,telegram,HostageFamilies,telegram_message_count,12.0
2023-09-16,telegram,HostageFamilies,telegram_total_views,50311.0
2023-09-16,telegram,ILPoliticsChannel,telegram_message_count,22.0
2023-09-16,telegram,ILPoliticsChannel,telegram_total_views,109571.0
2023-09-16,telegram,InternationalIsrael,telegram_message_count,12.0
2023-09-16,telegram,InternationalIsrael,telegram_total_views,44492.0
2023-09-16,telegram,IsraelNewsLive,telegram_message_count,30.0
2023-09-16,telegram,IsraelNewsLive,telegram_total_views,107453.0
2023-09-17,telegram,GazaUpdates,telegram_message_count,31.0
2023-09-17,telegram,GazaUpdates,telegram_total_views,123944.0
2023-09-17,telegram,HomeFrontAlerts,telegram_message_count,19.0
2023-09-17,telegram,HomeFrontAlerts,telegram_total_views,87428.0
2023-09-17,telegram,HostageFamilies,telegram_message_count,7.0
2023-09-17,telegram,HostageFamilies,telegram_total_views,32883.0
2023-09-17,telegram,ILPoliticsChannel,telegram_message_count,13.0
2023-09-17,telegram,ILPoliticsChannel,telegram_total_views,51369.0
2023-09-17,telegram,InternationalIsrael,telegram_message_count,10.0
2023-09-17,telegram,InternationalIsrael,telegram_total_views,43631.0
2023-09-17,telegram,IsraelNewsLive,telegram_message_count,32.0
2023-09-17,telegram,IsraelNewsLive,telegram_total_views,153878.0
2023-09-18,telegram,GazaUpdates,telegram_message_count,24.0
2023-09-18,telegram,GazaUpdates,telegram_total_views,107879.0
