date,keyword,trend_value,geo
2023-09-01,news,1.0,IL
2023-09-02,news,1.2,IL
2023-09-03,news,1.2,IL
2023-09-04,news,1.6,IL
2023-09-05,news,0.2,IL
2023-09-06,news,1.6,IL
2023-09-07,news,0.7,IL
2023-09-08,news,0.9,IL
2023-09-09,news,1.1,IL
2023-09-10,news,0.7,IL
2023-09-11,news,1.0,IL
2023-09-12,news,1.4,IL
2023-09-13,news,1.7,IL
2023-09-14,news,1.3,IL
2023-09-15,news,1.1,IL
2023-09-16,news,0.3,IL
2023-09-17,news,1.2,IL
2023-09-18,news,1.2,IL
2023-09-19,news,0.7,IL
2023-09-20,news,1.3,IL
2023-09-21,news,0.6,IL
2023-09-22,news,0.8,IL
2023-09-23,news,1.3,IL
2023-09-24,news,1.7,IL
2023-09-25,news,1.3,IL
2023-09-26,news,0.8,IL
2023-09-27,news,0.5,IL
2023-09-28,news,1.7,IL
2023-09-29,news,1.1,IL
2023-09-30,news,1.0,IL
2023-10-01,news,1.0,IL
2023-10-02,news,1.6,IL
2023-10-03,news,1.4,IL
2023-10-04,news,1.2,IL
2023-10-05,news,0.1,IL
2023-10-06,news,100.0,IL
2023-10-07,news,99.9,IL
2023-10-08,news,68.6,IL
2023-10-09,news,46.3,IL
2023-10-10,news,31.7,IL
2023-10-11,news,19.5,IL
2023-10-12,news,13.0,IL
2023-10-13,news,7.7,IL
2023-10-14,news,2.9,IL
2023-10-15,news,0.9,IL
2023-10-16,news,1.5,IL
2023-10-17,news,0.9,IL
2023-10-18,news,1.1,IL
2023-10-19,news,1.2,IL
2023-10-20,news,0.8,IL
2023-10-21,news,1.4,IL
2023-10-22,news,0.7,IL
2023-10-23,news,1.0,IL
2023-10-24,news,1.4,IL
2023-10-25,news,0.0,IL
2023-10-26,news,36.7,IL
2023-10-27,news,35.7,IL
2023-10-28,news,23.5,IL
2023-10-29,news,14.8,IL
2023-10-30,news,8.2,IL
2023-10-31,news,3.7,IL
2023-11-01,news,1.5,IL
2023-11-02,news,0.8,IL
2023-11-03,news,1.6,IL
2023-11-04,news,1.4,IL
2023-11-05,news,0.6,IL
2023-11-06,news,1.5,IL
2023-11-07,news,1.4,IL
2023-11-08,news,0.3,IL
2023-11-09,news,1.1,IL
2023-11-10,news,0.5,IL
2023-11-11,news,0.8,IL
2023-11-12,news,1.2,IL
2023-11-13,news,0.9,IL
2023-11-14,news,0.9,IL
2023-11-15,news,1.2,IL
2023-11-16,news,0.2,IL
2023-11-17,news,0.8,IL
2023-11-18,news,0.8,IL
2023-11-19,news,0.5,IL
