source,topic,before_per_day,after_per_day,growth_ratio
Google Trends,siren,3.52,7.2,2.05
Google Trends,hostages,3.53,7.2,2.04
Google Trends,home front command,3.55,7.15,2.02
Google Trends,telegram news,3.62,7.28,2.01
Google Trends,Iran attack,3.9,7.64,1.96
Google Trends,Israel news,3.74,7.3,1.95
Google Trends,news,3.82,7.37,1.93
RSS,security,63.97,90.88,1.42
RSS,hostages,51.06,72.22,1.41
RSS,international,25.64,36.16,1.41
RSS,home_front,51.5,71.33,1.38
RSS,politics,38.64,52.74,1.37
RSS,breaking_news,26.61,35.99,1.35
